planning.region,year,farm.emp,total.emp,agrelated.emp,total.agrelated.emp
Central,2001,19850,333393,10631,230023
Central,2002,18097,340878,10587,232748
Central,2003,17757,345087,10818,234156
Central,2004,17025,352762,10870,236402
Central,2005,16967,361033,11000,240713
Central,2006,16173,367953,11040,249673
Central,2007,16230,373785,11028,252668
Central,2008,15826,369928,11778.333333333334,253169
Central,2009,16987,358783,11200,243367
Central,2010,17064,355728,11693,236003
Central,2011,16575,361400,11840,241263
Central,2012,16700,364102,12020.666666666666,245180
Central,2013,16392,370316,12551,249529
Central,2014,16006,375302,12760,254596
Central,2015,16665,381060,13218,259549
Central,2016,16184,382317,13094,262544
Central,2017,15888,386788,13798,267730
Northeast,2001,3242,181401,935.5,136256
Northeast,2002,2927,182041,806,134144
Northeast,2003,2766,180915,751.3333333333334,134855
Northeast,2004,2595,182329,810,134008
Northeast,2005,2517,184748,565.6666666666666,134780
Northeast,2006,2366,186440,739.5,138126
Northeast,2007,2319,188432,466,137990
Northeast,2008,2255,187574,506.6666666666667,139169
Northeast,2009,2284,181476,417.8333333333333,134914
Northeast,2010,2263,181039,397.3333333333333,132836
Northeast,2011,2218,182145,415,133813
Northeast,2012,2191,182342,387,133932
Northeast,2013,2179,184422,391,136475
Northeast,2014,2155,185898,307,137082
Northeast,2015,2162,186700,317,138980
Northeast,2016,2134,185270,313,137849
Northeast,2017,2119,186804,343,139893
Northwest,2001,29642,308177,9528,194939
Northwest,2002,26998,310180,9362,196273
Northwest,2003,26343,311610,9217,198635
Northwest,2004,25344,315295,9358,199411
Northwest,2005,25269,319375,9161.333333333334,201229
Northwest,2006,24220,321456,9274,207089
Northwest,2007,24386,324385,9426,204150
Northwest,2008,23668,322660,9806,206046
Northwest,2009,24795,317016,9817,200918
Northwest,2010,24638,316081,10172,197576
Northwest,2011,23797,317402,10513,198722
Northwest,2012,23657,319380,10957,200073
Northwest,2013,23339,322468,11322,204142
Northwest,2014,22844,326140,11422,206526
Northwest,2015,23680,328701,11588,208230
Northwest,2016,23081,328292,11682,210163
Northwest,2017,22719,331332,12437,212688
Seven County Mpls-St Paul,2001,6787,1972874,18410.666666666668,1588687
Seven County Mpls-St Paul,2002,6278,1956024,16826.5,1547183
Seven County Mpls-St Paul,2003,6193,1960164,17518,1537546
Seven County Mpls-St Paul,2004,5852,1987113,16709,1535707
Seven County Mpls-St Paul,2005,5785,2023450,16636,1553776
Seven County Mpls-St Paul,2006,5397,2054214,17897,1586436
Seven County Mpls-St Paul,2007,5335,2082789,17632,1594648
Seven County Mpls-St Paul,2008,5048,2077756,16427,1596258
Seven County Mpls-St Paul,2009,5496,2009685,16692.5,1542570
Seven County Mpls-St Paul,2010,5411,2004580,16066,1499885
Seven County Mpls-St Paul,2011,5084,2051143,17418,1526363
Seven County Mpls-St Paul,2012,5037,2078066,17452,1555131
Seven County Mpls-St Paul,2013,4908,2113979,18616,1586784
Seven County Mpls-St Paul,2014,4758,2150895,18725,1607516
Seven County Mpls-St Paul,2015,5034,2195638,18730,1638051
Seven County Mpls-St Paul,2016,4849,2230496,18539,1667780
Seven County Mpls-St Paul,2017,4733,2268437,18213,1709766
Southeast,2001,16679,300410,13391.333333333334,224276
Southeast,2002,15103,300334,12975,221409
Southeast,2003,14881,301630,13086,221626
Southeast,2004,14448,304712,12752,221420
Southeast,2005,14535,307764,12694,222606
Southeast,2006,14022,311800,12563,228325
Southeast,2007,14220,315849,12639,228239
Southeast,2008,13712,314306,12911,229569
Southeast,2009,14480,307203,13012.666666666666,225195
Southeast,2010,14325,303724,13100.833333333334,219015
Southeast,2011,13720,307495,13278.666666666666,221638
Southeast,2012,13602,311944,13726,226730
Southeast,2013,13400,314145,13950.666666666666,230054
Southeast,2014,13082,316203,13673.5,229874
Southeast,2015,13667,319663,14135,231217
Southeast,2016,13287,321729,14204,235833
Southeast,2017,13052,323307,14500,237724
Southwest,2001,25243,251071,17505,172478
Southwest,2002,22822,248249,17245,169879
Southwest,2003,22544,247588,16123,170073
Southwest,2004,21845,248161,15872,168610
Southwest,2005,21945,251765,15999,170059
Southwest,2006,21147,253842,15854,174470
Southwest,2007,21403,255251,16029,173521
Southwest,2008,20688,254275,16362.5,174674
Southwest,2009,21817,250272,16801,171143
Southwest,2010,21641,247601,16813,166106
Southwest,2011,20796,249616,17193,168063
Southwest,2012,20667,249744,17311,169433
Southwest,2013,20372,251157,17206,169966
Southwest,2014,19903,251304,17378,170494
Southwest,2015,20682,253695,20300.5,171237
Southwest,2016,20135,253611,17707,172806
Southwest,2017,19800,255098,18522,173554
